lon lat slope
2.400000000000000000e+01 -9.000000000000000000e+01 2.251964735667465689e+00
2.500000000000000000e+01 -9.000000000000000000e+01 2.220120584083372872e+00
2.600000000000000000e+01 -9.000000000000000000e+01 2.665596455964289735e+00
2.700000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
2.800000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
2.900000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.000000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.100000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.200000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.300000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.400000000000000000e+01 -9.000000000000000000e+01 2.007516013215321582e+00
3.500000000000000000e+01 -9.000000000000000000e+01 3.720850895428210237e+00
3.600000000000000000e+01 -9.000000000000000000e+01 3.720850895428210237e+00
3.700000000000000000e+01 -9.000000000000000000e+01 3.720850895428210237e+00
3.800000000000000000e+01 -9.000000000000000000e+01 4.707290469549279877e+00
3.900000000000000000e+01 -9.000000000000000000e+01 5.089763068907459775e+00
4.000000000000000000e+01 -9.000000000000000000e+01 4.830402861228990652e+00
4.100000000000000000e+01 -9.000000000000000000e+01 4.297304607912727725e+00
4.200000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.300000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.400000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.500000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.600000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.700000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.800000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
4.900000000000000000e+01 -9.000000000000000000e+01 3.653779460144104263e+00
5.000000000000000000e+01 -9.000000000000000000e+01 4.068225288113549887e+00
5.100000000000000000e+01 -9.000000000000000000e+01 4.068225288113549887e+00
5.200000000000000000e+01 -9.000000000000000000e+01 4.068225288113549887e+00
5.300000000000000000e+01 -9.000000000000000000e+01 4.068225288113549887e+00
5.400000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
5.500000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
5.600000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
5.700000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
5.800000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
5.900000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
6.000000000000000000e+01 -9.000000000000000000e+01 4.914418918304405359e+00
6.100000000000000000e+01 -9.000000000000000000e+01 4.550736321128852069e+00
6.200000000000000000e+01 -9.000000000000000000e+01 4.550736321128852069e+00
6.300000000000000000e+01 -9.000000000000000000e+01 4.661625387861271008e+00
6.400000000000000000e+01 -9.000000000000000000e+01 4.448558320323373394e+00
6.500000000000000000e+01 -9.000000000000000000e+01 4.893665360530108366e+00
6.600000000000000000e+01 -9.000000000000000000e+01 5.130517341736577919e+00
6.700000000000000000e+01 -9.000000000000000000e+01 5.082344456288297785e+00
6.800000000000000000e+01 -9.000000000000000000e+01 5.016175654490830915e+00
6.900000000000000000e+01 -9.000000000000000000e+01 5.323422518179338425e+00
7.000000000000000000e+01 -9.000000000000000000e+01 4.761051581263773258e+00
7.100000000000000000e+01 -9.000000000000000000e+01 4.650906088477468892e+00
7.200000000000000000e+01 -9.000000000000000000e+01 4.650906088477468892e+00
7.300000000000000000e+01 -9.000000000000000000e+01 4.328918676869506044e+00
7.400000000000000000e+01 -9.000000000000000000e+01 4.449502496538316976e+00
7.500000000000000000e+01 -9.000000000000000000e+01 3.914315058437196626e+00
7.600000000000000000e+01 -9.000000000000000000e+01 3.557502814765983512e+00
7.700000000000000000e+01 -9.000000000000000000e+01 3.392173386936712998e+00
